province	Liberal	Conservative	NDP	Green
BC	35.2	30.0	14.0	8.2
AB	24.6	59.5	11.6	2.5
SK	23.9	48.5	25.1	2.1
MB	44.6	37.3	13.8	3.2
ON	44.8	35.0	16.6	2.9
QC	35.7	16.7	25.4	2.3
NB	51.6	25.3	18.3	4.6
NS	61.9	17.9	16.4	3.4
PE	58.3	19.3	16.0	6.0
NL	64.5	10.3	21.0	1.1
YK	53.6	24.0	19.5	2.9
NT	48.3	18.0	30.8	2.8
NU	47.2	24.8	26.5	1.5
